,Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
366,PDX,RDM,"Portland, OR","Bend, OR",42,72,4,116,1995-08-01,1721558,94869,45.58869934,-122.5979996,44.2541008,-121.1500015
422,EKO,RDM,"Elko, NV","Bend, OR",157,248,2,362,1996-05-01,45034,98602,40.8249015808105,-115.791999816895,44.2541008,-121.1500015
698,PDX,RDM,"Portland, OR","Bend, OR",2084,4470,149,116,2002-10-01,2010666,125468,45.58869934,-122.5979996,44.2541008,-121.1500015
751,SFO,RDM,"San Francisco, CA","Bend, OR",1724,2670,89,462,2003-01-01,8306286,129322,37.6189994812012,-122.375,44.2541008,-121.1500015
916,PDX,RDM,"Portland, OR","Bend, OR",0,0,21,116,2005-05-01,2084053,140962,45.58869934,-122.5979996,44.2541008,-121.1500015
1197,PDX,RDM,"Portland, OR","Bend, OR",185,222,3,116,2007-11-01,2163577,153405,45.58869934,-122.5979996,44.2541008,-121.1500015
1449,PDX,RDM,"Portland, OR","Bend, OR",69,70,1,116,2008-12-01,2203745,157730,45.58869934,-122.5979996,44.2541008,-121.1500015
1457,PDX,RDM,"Portland, OR","Bend, OR",0,0,24,116,2008-07-01,2203745,157730,45.58869934,-122.5979996,44.2541008,-121.1500015
1566,AZA,RDM,"Phoenix, AZ","Bend, OR",912,1200,8,911,2009-09-01,4364094,158629,33.30780029,-111.6549988,44.2541008,-121.1500015
1604,PDX,RDM,"Portland, OR","Bend, OR",767,1190,17,116,2009-05-01,2241841,158629,45.58869934,-122.5979996,44.2541008,-121.1500015
1686,SLC,RDM,"Salt Lake City, UT","Bend, OR",1758,2700,54,526,2009-02-01,1130293,158629,40.7883987426758,-111.977996826172,44.2541008,-121.1500015
2051,COS,EKO,"Colorado Springs, CO","Elko, NV",70,119,1,605,1992-02-01,433799,38698,38.805801391602,-104.70099639893,40.8249015808105,-115.791999816895
2077,BZN,EKO,"Bozeman, MT","Elko, NV",115,119,1,414,1992-02-01,54103,38698,45.77750015,-111.1529999,40.8249015808105,-115.791999816895
2192,AUS,EKO,"Austin, TX","Elko, NV",99,124,1,1247,1992-09-01,901055,38698,30.1944999694824,-97.6698989868164,40.8249015808105,-115.791999816895
2488,YKM,EKO,"Yakima, WA","Elko, NV",96,124,1,462,1993-11-01,203827,40259,46.56819916,-120.5439987,40.8249015808105,-115.791999816895
2966,DSM,EKO,"Des Moines, IA","Elko, NV",122,124,1,1152,1993-11-01,436844,40259,41.5340003967285,-93.6631011962891,40.8249015808105,-115.791999816895
3055,MKE,EKO,"Milwaukee, WI","Elko, NV",211,248,2,1439,1994-05-01,1459322,41668,42.9472007751465,-87.896598815918,40.8249015808105,-115.791999816895
3063,BNA,EKO,"Nashville, TN","Elko, NV",79,124,1,1603,1994-07-01,1135689,41668,36.1245002746582,-86.6781997680664,40.8249015808105,-115.791999816895
3196,BFF,EKO,"Scottsbluff, NE","Elko, NV",231,248,2,637,1994-10-01,37508,41668,41.87400055,-103.5960007,40.8249015808105,-115.791999816895
3397,BTM,EKO,"Butte, MT","Elko, NV",121,124,1,391,1994-01-01,34684,41668,45.9547996520996,-112.497001647949,40.8249015808105,-115.791999816895
